smiles,conf_1,conf_2,conf_3,conf_4,conf_5,pdbqt_conf_1,pdbqt_conf_2,pdbqt_conf_3,pdbqt_conf_4,pdbqt_conf_5
c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,pipeline_output/docking/autodock-vina/conformations/ligand_0_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_0_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_0_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_0_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_0_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_0_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_0_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_0_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_0_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_0_conformer_5.pdbqt
O=C(C=1C=CC2=C(C1)NC(=O)N2C3CCCC3)N4CCC(C4)OC=5C=CC=C(F)C5,pipeline_output/docking/autodock-vina/conformations/ligand_1_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_1_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_1_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_1_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_1_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_1_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_1_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_1_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_1_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_1_conformer_5.pdbqt
CC1=CC(=NN1C=2C=CC(F)=CC2F)NC(=O)NC3CCN(CC3)C(C)C=4C=CC=CC4,pipeline_output/docking/autodock-vina/conformations/ligand_2_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_2_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_2_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_2_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_2_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_2_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_2_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_2_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_2_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_2_conformer_5.pdbqt
O=C(C=1C=CC(=CC1)N2C=NC=3C=CC=CC32)N4CCCC(O)(CO)C4,pipeline_output/docking/autodock-vina/conformations/ligand_3_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_3_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_3_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_3_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_3_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_3_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_3_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_3_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_3_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_3_conformer_5.pdbqt
C1=CC=C(C=C1)OC=2C=CN=C(N2)NC3CCC4OCCC4C3,pipeline_output/docking/autodock-vina/conformations/ligand_4_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_4_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_4_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_4_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_4_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_4_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_4_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_4_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_4_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_4_conformer_5.pdbqt
O=C(NC=1C=CC=C(C1)CCO)C2=CNC=3N=CN=C(O)C23,pipeline_output/docking/autodock-vina/conformations/ligand_5_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_5_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_5_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_5_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_5_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_5_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_5_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_5_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_5_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_5_conformer_5.pdbqt
O=C1CC(NC=2N=CC=C(N2)OC=3C=CC=CC3)C4CCCCN14,pipeline_output/docking/autodock-vina/conformations/ligand_6_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_6_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_6_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_6_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_6_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_6_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_6_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_6_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_6_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_6_conformer_5.pdbqt
O=C(NCC1CCOCC1)C=2C=NC(=NC2C(F)(F)F)NC=3C=CC=CC3,pipeline_output/docking/autodock-vina/conformations/ligand_7_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_7_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_7_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_7_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_7_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_7_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_7_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_7_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_7_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_7_conformer_5.pdbqt
O=C(NC1CC2CNCC2C1)C=3C=CC(=CC3)OCC4CCCCC4,pipeline_output/docking/autodock-vina/conformations/ligand_8_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_8_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_8_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_8_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_8_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_8_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_8_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_8_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_8_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_8_conformer_5.pdbqt
C=1C=CC(=CC1)C2=NOC(=N2)C3CCN(CC4CCCCNC4)CC3,pipeline_output/docking/autodock-vina/conformations/ligand_9_conformer_1.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_9_conformer_2.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_9_conformer_3.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_9_conformer_4.sdf,pipeline_output/docking/autodock-vina/conformations/ligand_9_conformer_5.sdf,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_9_conformer_1.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_9_conformer_2.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_9_conformer_3.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_9_conformer_4.pdbqt,pipeline_output/docking/autodock-vina/pdbqt_files/ligand_9_conformer_5.pdbqt
