smiles,similar_to_original,dock_1,dock_2,dock_3,dock_4,dock_5
c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_0_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_0_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_0_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_0_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_0_conformer_5_docked.sdf
O=C(C=1C=CC2=C(C1)NC(=O)N2C3CCCC3)N4CCC(C4)OC=5C=CC=C(F)C5,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_1_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_1_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_1_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_1_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_1_conformer_5_docked.sdf
CC1=CC(=NN1C=2C=CC(F)=CC2F)NC(=O)NC3CCN(CC3)C(C)C=4C=CC=CC4,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_2_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_2_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_2_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_2_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_2_conformer_5_docked.sdf
O=C(C=1C=CC(=CC1)N2C=NC=3C=CC=CC32)N4CCCC(O)(CO)C4,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_3_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_3_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_3_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_3_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_3_conformer_5_docked.sdf
C1=CC=C(C=C1)OC=2C=CN=C(N2)NC3CCC4OCCC4C3,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_4_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_4_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_4_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_4_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_4_conformer_5_docked.sdf
O=C(NC=1C=CC=C(C1)CCO)C2=CNC=3N=CN=C(O)C23,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_5_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_5_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_5_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_5_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_5_conformer_5_docked.sdf
O=C1CC(NC=2N=CC=C(N2)OC=3C=CC=CC3)C4CCCCN14,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_6_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_6_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_6_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_6_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_6_conformer_5_docked.sdf
O=C(NCC1CCOCC1)C=2C=NC(=NC2C(F)(F)F)NC=3C=CC=CC3,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_7_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_7_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_7_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_7_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_7_conformer_5_docked.sdf
O=C(NC1CC2CNCC2C1)C=3C=CC(=CC3)OCC4CCCCC4,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_8_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_8_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_8_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_8_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_8_conformer_5_docked.sdf
C=1C=CC(=CC1)C2=NOC(=N2)C3CCN(CC4CCCCNC4)CC3,True,pipeline_output/docking/autodock-vina/docking_structures/ligand_9_conformer_1_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_9_conformer_2_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_9_conformer_3_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_9_conformer_4_docked.sdf,pipeline_output/docking/autodock-vina/docking_structures/ligand_9_conformer_5_docked.sdf
